Mark,Competitor,Nat_x,Location,Discipline,Date,Results Score,Nat_y,Birthdate,Event,Days Since Performance,Weighted Score
1:00:38,CAMERON LEVINS,CAN,Istanbul (TUR),Half Marathon,2024-04-28,1161,CAN,28 Mar 1989,Marathon,95,1055.7819769176167
3:38.23,TSHEPO TSHITE,RSA,"Stade Raymond Petit, Tomblaine (FRA)",1500m,2024-05-25,1130,RSA,15 Jan 1997,1500m,68,1055.7143351422512
58:45,DANIEL MATEIKO,KEN,Ras Al Khaimah (UAE),Half Marathon,2024-02-24,1237,KEN,04 Aug 1998,10000m,159,1055.1564960448156
3:38.48,LAMECHA GIRMA,ETH,"Hayward Field, Eugene, OR (USA)",1500m,2024-05-25,1127,ETH,26 Nov 2000,3000m SC,68,1052.9115537215196
1:46.06,ANASS ESSAYI,MAR,"Percy Beard Track, Gainesville, FL (USA)",800m,2024-05-11,1141,MAR,18 May 2001,1500m,82,1051.171304872534
28:17.79,JONAS RAESS,SUI,"Stadio Olimpico, Roma (ITA)",10000m,2024-06-12,1105,SUI,08 Mar 1994,5000m,50,1051.108514073289
28:17.84,ISAAC KIMELI,BEL,"Stadio Olimpico, Roma (ITA)",10000m,2024-06-12,1104,BEL,09 Mar 1994,"10000m, 5000m",50,1050.1572846487882
1:46.15,MARIUS PROBST,GER,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",800m,2024-05-11,1139,GER,20 Aug 1995,1500m,82,1049.3287609551412
2:06:27,HAIMRO ALAME,ISR,Tokyo (JPN),Marathon,2024-03-03,1220,ISR,08 Jun 1990,Marathon,151,1049.0141923642307
28:16.00,SUGURU OSAKO,JPN,"Mt. Hood Community College, Gresham, OR (USA)",10000m,2024-06-08,1107,JPN,23 May 1991,Marathon,54,1048.8073418974907
3:40.11,BRANDON MILLER,USA,"Lincoln HS, Portland, OR (USA)",1500m,2024-06-09,1105,USA,30 Jan 2002,800m,53,1047.9599137929395
1:02:03,SONDRE NORDSTAD MOEN,NOR,"Stadio Olimpico, Roma (ITA)",Half Marathon,2024-06-09,1105,NOR,12 Jan 1991,Marathon,53,1047.9599137929395
3:39.16,TOMÁŠ HABARTA,CZE,"Mestský Stadion, Ostrava (CZE)",1500m,2024-05-28,1118,CZE,10 Jul 2003,3000m SC,65,1047.641424055937
13:18.19,BENARD KIBET,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",5000m,2024-05-04,1144,KEN,25 Nov 1999,10000m,89,1046.583336169173
13:20.37,AVINASH MUKUND SABLE,IND,"Jack Kemp Stadium, Los Angeles, CA (USA)",5000m,2024-05-11,1136,IND,13 Sep 1994,3000m SC,82,1046.5649450790522
13:29.48,BRIAN FAY,IRL,"Stadio Olimpico, Roma (ITA)",5000m,2024-06-08,1104,IRL,09 Nov 1998,5000m,54,1045.9650455779854
28:03.44,ZEREI KBROM MEZNGI,NOR,"Parliament Hill Fields Athletics Track, London (GBR)",10000m,2024-05-18,1127,NOR,12 Jan 1986,Marathon,75,1045.566909092279
3:38.57,JACK ROWE,GBR,"Stadion Śląski, Chorzów (POL)",1500m,2024-05-18,1126,GBR,30 Jan 1996,5000m,75,1044.6391656059504
27:17.28,ABDIHAMID NUR,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",10000m,2024-03-16,1199,USA,14 Oct 1997,5000m,138,1044.4473314032123
1:02:09,SULDAN HASSAN,SWE,"Stadio Olimpico, Roma (ITA)",Half Marathon,2024-06-09,1101,SWE,01 Apr 1998,Marathon,53,1044.1663937430103
13:23.81,TOMOKI OTA,JPN,"National Stadium, Tokyo (JPN)",5000m,2024-05-19,1124,JPN,17 Oct 1997,10000m,74,1043.8269838776068
2:06:50,ELIUD KIPCHOGE,KEN,Tokyo (JPN),Marathon,2024-03-03,1213,KEN,05 Nov 1984,Marathon,151,1042.9952584736163
1:45.57,ABEL KIPSANG,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,2024-04-20,1156,KEN,22 Nov 1996,1500m,103,1042.8587813446331
2:06:22,STEPHEN KISSA,UGA,Osaka (JPN),Marathon,2024-02-25,1221,UGA,01 Dec 1988,Marathon,158,1042.5505837835162
8:37.58,TOPI RAITANEN,FIN,"Paavo Nurmen Stadion, Turku (FIN)",3000m SC,2024-06-18,1089,FIN,07 Feb 1996,3000m SC,44,1042.1228596881479
3:38.20,LUIS GRIJALVA,GUA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,2024-05-11,1131,GUA,10 Apr 1999,5000m,82,1041.9585852855703
2:06:33,NAOKI KOYAMA,JPN,Osaka (JPN),Marathon,2024-02-25,1218,JPN,12 May 1996,Marathon,158,1039.9890344376108
2:06:06,YEMANEBERHAN CRIPPA,ITA,Sevilla (ESP),Marathon,2024-02-18,1226,ITA,15 Oct 1996,Marathon,165,1039.5176812117847
27:20.93,BENJAMIN FLANAGAN,CAN,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",10000m,2024-03-16,1193,CAN,11 Jan 1995,5000m,138,1039.2207392527375
13:31.77,JACK ROWE,GBR,"Stadio Olimpico, Roma (ITA)",5000m,2024-06-08,1096,GBR,30 Jan 1996,5000m,54,1038.385588725971
1:02:23,FELIX BOUR,FRA,"Stadio Olimpico, Roma (ITA)",Half Marathon,2024-06-09,1092,FRA,25 Mar 1994,Marathon,53,1035.6309736306696
2:10:53,MOHCIN OUTALHA,MAR,Rabat (MAR),Marathon,2024-04-21,1146,MAR,15 Dec 1998,Marathon,102,1034.8718662125327
13:21.87,ABDESSAMAD OUKHELFEN,ESP,"Stade Raymond Troussier, Decines (FRA)",5000m,2024-05-04,1131,ESP,18 Dec 1998,10000m,89,1034.6903437127053
13:32.77,MIKE FOPPEN,NED,"Stadio Olimpico, Roma (ITA)",5000m,2024-06-08,1092,NED,29 Nov 1996,5000m,54,1034.5958602999638
27:26.02,LUIS GRIJALVA,GUA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",10000m,2024-03-16,1185,GUA,10 Apr 1999,5000m,138,1032.2519497187711
2:07:44,VICTOR KIPLANGAT,UGA,Tokyo (JPN),Marathon,2024-03-03,1198,UGA,10 Nov 1999,Marathon,151,1030.0975429937282
3:56.15,OSSAMA MESLEK,ITA,"Oxford University Track, Oxford (GBR)",Mile,2024-05-06,1122,ITA,08 Jan 1997,1500m,87,1028.511701300397
1:46.75,CATHAL DOYLE,IRL,"Morton Stadium, Dublin (IRL)",800m,2024-05-04,1121,IRL,12 Nov 1997,1500m,89,1025.5418879769607
2:09:42,IL RYONG HAN,PRK,Wuxi (CHN),Marathon,2024-03-24,1165,PRK,29 Apr 2000,Marathon,130,1022.981177022454
1:46.59,ERMIAS GIRMA,ETH,"Suzhou Olympic Sports Centre, Suzhou (CHN)",800m,2024-04-27,1125,ETH,20 Jan 2005,1500m,96,1022.0220180772944
59:42,BENARD KIBET,KEN,Ras Al Khaimah (UAE),Half Marathon,2024-02-24,1198,KEN,25 Nov 1999,10000m,159,1021.8896380450195
3:39.22,NICOLAS-MARIE DARU,FRA,"Stade Raymond Troussier, Decines (FRA)",1500m,2024-05-04,1117,FRA,21 Oct 1988,3000m SC,89,1021.8825056826628
59:46,TAMIRAT TOLA,ETH,Ras Al Khaimah (UAE),Half Marathon,2024-02-24,1196,ETH,11 Aug 1991,Marathon,159,1020.1836453270813
59:23,ANDREAS ALMGREN,SWE,Barcelona (ESP),Half Marathon,2024-02-11,1211,SWE,12 Jun 1995,5000m,172,1019.6367787070534
27:54.66,CHARLES PHILIBERT-THIBOUTOT,CAN,"Cougar Athletic Stadium, Azusa, CA (USA)",10000m,2024-04-11,1140,CAN,31 Dec 1990,1500m,112,1019.2104535504072
3:40.09,ALEXIS MIELLET,FRA,"Stade Jacques Forestier, Aix-les-Bains (FRA)",1500m,2024-05-12,1105,FRA,05 May 1995,3000m SC,81,1019.0240290462918
2:08:04,XIANGDONG WU,CHN,Osaka (JPN),Marathon,2024-02-25,1192,CHN,17 Jan 1994,Marathon,158,1017.7889401064302
2:07:36,SULDAN HASSAN,SWE,Sevilla (ESP),Marathon,2024-02-18,1200,SWE,01 Apr 1998,Marathon,165,1017.4724449054991
2:08:09,TEBELLO RAMAKONGOANA,LES,Osaka (JPN),Marathon,2024-02-25,1191,LES,13 Oct 1996,Marathon,158,1016.9350903244617
2:07:48,IBRAHIM CHAKIR,ESP,Sevilla (ESP),Marathon,2024-02-18,1197,ESP,04 Sep 1994,Marathon,165,1014.9287637932352
2:07:49,DANIELE MEUCCI,ITA,Sevilla (ESP),Marathon,2024-02-18,1197,ITA,07 Oct 1985,Marathon,165,1014.9287637932352
1:00:21,ABDI NAGEEYE,NED,Den Haag (NED),Half Marathon,2024-03-10,1172,NED,02 Mar 1989,Marathon,144,1014.8204407253883
1:00:01,EMILE CAIRESS,GBR,Napoli (ITA),Half Marathon,2024-02-25,1186,GBR,27 Dec 1997,Marathon,158,1012.6658414146193
2:08:01,RORY LINKLETTER,CAN,Sevilla (ESP),Marathon,2024-02-18,1193,CAN,12 Aug 1996,Marathon,165,1011.5371889768836
2:08:04,CARLOS DÍAZ,CHI,Sevilla (ESP),Marathon,2024-02-18,1192,CHI,09 Jul 1993,Marathon,165,1010.6892952727957
2:08:04,PHILIP SESEMANN,GBR,Sevilla (ESP),Marathon,2024-02-18,1192,GBR,03 Oct 1992,Marathon,165,1010.6892952727957
1:00:41,ZOUHAIR TALBI,MAR,"New York, NY (USA)",Half Marathon,2024-03-17,1159,MAR,08 Apr 1995,Marathon,137,1010.6134920871148
1:01:55,TIMOTHY KIPLAGAT,KEN,Gifu (JPN),Half Marathon,2024-04-28,1110,KEN,18 Sep 1993,Marathon,95,1009.4039572597369
3:40.20,ALI IDOW HASSAN,SOM,"Dubai Police Club Stadium, Dubai (UAE)",1500m,2024-05-03,1104,SOM,01 Jul 1998,800m,90,1008.9800285394359
27:43.45,BRIAN FAY,IRL,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",10000m,2024-03-16,1157,IRL,09 Nov 1998,5000m,138,1007.8611863498887
3:38.63,JOSH HOEY,USA,"Percy Beard Track, Gainesville, FL (USA)",1500m,2024-04-12,1125,USA,01 Nov 1999,800m,111,1006.8060925451599
1:47.18,MARIO GARCÍA,ESP,"Franklin Field, Philadelphia, PA (USA)",800m,2024-04-27,1108,ESP,29 Jun 1999,1500m,96,1006.5781298041264
13:29.47,DANIEL ARCE,ESP,"Estadio Iberoamericano, Huelva (ESP)",5000m,2024-04-30,1104,ESP,22 Apr 1992,3000m SC,93,1005.9576243269391
2:08:26,DARIO IVANOVSKI,MKD,Sevilla (ESP),Marathon,2024-02-18,1186,MKD,15 May 1997,Marathon,165,1005.6019330482682
59:37,ALEXANDER MUNYAO,KEN,Marugame (JPN),Half Marathon,2024-02-04,1202,KEN,10 Sep 1996,Marathon,179,1004.9992910752367
1:47.19,FEDERICO RIVA,ITA,"Stadio Olindo Galli, Tivoli (ITA)",800m,2024-04-25,1108,ITA,09 Nov 2000,1500m,98,1004.5669853593444
1:00:42,IBRAHIM HASSAN,DJI,"Atletiekstadium Gentbrugge, Gentbrugge (BEL)",Half Marathon,2024-03-10,1158,DJI,01 Jan 1997,Marathon,144,1002.6980122525594
2:10:19,BERHANE TESFAY,ERI,Barcelona (ESP),Marathon,2024-03-10,1155,ERI,09 Jan 1987,Marathon,144,1000.1003490083817
2:12:47,LEONARD KORIR,USA,Rotterdam (NED),Marathon,2024-04-14,1115,USA,10 Dec 1986,Marathon,109,999.8544155105325
1:00:28,ALPHONCE FELIX SIMBU,TAN,Ras Al Khaimah (UAE),Half Marathon,2024-02-24,1168,TAN,14 Feb 1992,Marathon,159,996.2997472759456
2:09:07,TACHLOWINI GABRIYESOS,ART,Sevilla (ESP),Marathon,2024-02-18,1175,EOR,01 Jan 1998,Marathon,165,996.2751023033012
2:13:31,ALPHONCE FELIX SIMBU,TAN,Wien (AUT),Marathon,2024-04-21,1103,TAN,14 Feb 1992,Marathon,102,996.0415954907711
2:06:39,ZOUHAIR TALBI,MAR,"Houston, TX (USA)",Marathon,2024-01-14,1216,MAR,08 Apr 1995,Marathon,200,995.5765957428259
2:09:19,MICHAEL SOMERS,BEL,Sevilla (ESP),Marathon,2024-02-18,1172,BEL,02 Mar 1995,Marathon,165,993.7314211910374
3:39.78,RYUJI MIURA,JPN,"Egao Kenko Stadium, Kumamoto (JPN)",1500m,2024-04-13,1109,JPN,11 Feb 2002,3000m SC,110,993.4800560438498
27:54.55,JACK ROWE,GBR,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",10000m,2024-03-16,1140,GBR,30 Jan 1996,5000m,138,993.0525085902101
2:06:27,SAMUEL FITWI SIBHATU,GER,Dubai (UAE),Marathon,2024-01-07,1220,GER,01 Jan 1996,Marathon,207,991.8839729848366
2:10:10,SER-OD BAT-OCHIR,MGL,Osaka (JPN),Marathon,2024-02-25,1157,MGL,07 Oct 1981,Marathon,158,987.9041977375333
13:30.62,AKIRA AKASAKI,JPN,"Egao Kenko Stadium, Kumamoto (JPN)",5000m,2024-04-13,1100,JPN,21 Jan 1998,Marathon,110,985.417548826181
1:02:04,MOHCIN OUTALHA,MAR,Praha (CZE),Half Marathon,2024-04-06,1105,MAR,15 Dec 1998,Marathon,117,982.9916384455695
2:09:06,CLAYTON YOUNG,USA,"Orlando, FL (USA)",Marathon,2024-02-03,1175,USA,14 Sep 1993,Marathon,180,981.4424984082445
2:09:05,CONNER MANTZ,USA,"Orlando, FL (USA)",Marathon,2024-02-03,1175,USA,08 Dec 1996,Marathon,180,981.4424984082445
2:07:45,PATRICK TIERNAN,AUS,"Houston, TX (USA)",Marathon,2024-01-14,1198,AUS,11 Sep 1994,Marathon,200,980.8394421874223
3:53.16,SAMUEL TANNER,NZL,"Lakeside Stadium, Melbourne (AUS)",Mile,2024-02-15,1160,NZL,24 Aug 2000,1500m,168,980.6104482342041
2:07:18,OTHMANE EL GOUMRI,MAR,Xiamen (CHN),Marathon,2024-01-07,1205,MAR,28 May 1992,Marathon,207,979.6886782350231
13:33.38,JEAN-SIMON DESGAGNÉS,CAN,"Cougar Athletic Stadium, Azusa, CA (USA)",5000m,2024-04-12,1090,CAN,26 Jul 1998,3000m SC,111,975.4832363326439
1:01:34,KOEN NAERT,BEL,"Atletiekstadium Gentbrugge, Gentbrugge (BEL)",Half Marathon,2024-03-10,1124,BEL,03 Sep 1989,Marathon,144,973.2578288185464
1:46.14,SAMUEL TANNER,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",800m,2024-02-24,1139,NZL,24 Aug 2000,1500m,159,971.5628528658408
2:11:01,SAMUEL FREIRE,CPV,Sevilla (ESP),Marathon,2024-02-18,1143,CPV,28 Aug 1990,Marathon,165,969.1425037724879
2:10:02,ELKANAH KIBET,USA,"Orlando, FL (USA)",Marathon,2024-02-03,1160,USA,02 Jun 1983,Marathon,180,968.9134452370755
2:08:44,HUGO CATRILEO,CHI,"Houston, TX (USA)",Marathon,2024-01-14,1181,CHI,23 Jan 1997,Marathon,200,966.9210193850965
4:00.71,KIERAN LUMB,CAN,"Hayward Field, Eugene, OR (USA)",Mile,2024-04-20,1066,CAN,02 Aug 1998,1500m,103,961.6673537312965
1:02:25,MATTHIAS KYBURZ,SUI,Oberriet (SUI),Half Marathon,2024-03-17,1091,SUI,05 Mar 1990,Marathon,137,951.3195167101313
1:02:10,OTHMANE EL GOUMRI,MAR,Meishan (CHN),Half Marathon,2024-02-25,1101,MAR,28 May 1992,Marathon,158,940.0886099472983
1:01:02,RORY LINKLETTER,CAN,"Houston, TX (USA)",Half Marathon,2024-01-14,1145,CAN,12 Aug 1996,Marathon,200,937.4467122742892
13:30.67,JAMES CORRIGAN,USA,"Dempsey Indoor, Seattle, WA (USA)",5000m,2024-02-09,1100,USA,16 Apr 2002,3000m SC,174,924.3265874242745
1:47.11,CAMERON MYERS,AUS,"AIS Athletics Track, Canberra (AUS)",800m,2024-01-26,1110,AUS,09 Jun 2006,1500m,188,919.7623250282754
1:02:19,THOMAS FAFARD,CAN,"Houston, TX (USA)",Half Marathon,2024-01-14,1095,CAN,06 Dec 1998,5000m,200,896.5101746203901
